country_name,year,health_expense,total_gov_expense,education_expense,capital_formation_exp,military_expense,r&d_expense,total_gdp,log_gdp
Bangladesh,2001,1.77201855,7.852792471,2.171930075,24.17430673,1.288422776,0.581855,53991289844,10.7323237
Bangladesh,2002,1.93417108,7.887123728,2.017149925,24.34141614,1.048366463,0.581855,54724081491,10.73817848
Bangladesh,2003,1.96152198,7.836050278,2.069400072,24.67918886,1.002633098,0.581855,60158929188,10.7793001
Bangladesh,2004,1.99854314,7.604976598,1.940140009,24.99183394,0.998859774,0.581855,65108544250,10.81363799
Bangladesh,2005,2.05873919,8.14262834,1.940140009,25.83043551,0.97281009,0.581855,69476001239,10.84183481
Bangladesh,2006,2.10646582,8.334937302,2.131289959,26.14414575,0.989838837,0.581855,71795736172,10.85609865
Bangladesh,2007,2.17268491,8.662793141,2.202219963,26.17849707,0.997091964,0.581855,79611644975,10.9009766
Bangladesh,2008,2.11878848,9.428781171,2.05456996,26.2022714,0.938215292,0.581855,91636997371,10.96207085
Bangladesh,2009,2.18321705,9.871583603,1.939419985,26.20605702,1.028939548,0.581855,1.02E+11,11.0106186
Bangladesh,2010,2.28807664,9.266251067,1.939419985,26.24665618,1.184384017,0.581855,1.15E+11,11.06173717
Bangladesh,2011,2.36418128,9.843884578,2.132699966,27.42097337,1.217668949,0.581855,1.29E+11,11.10926624
Bangladesh,2012,2.3537879,9.638538733,2.175499916,28.26233501,1.180897234,0.581855,1.33E+11,11.12486516
Bangladesh,2013,2.29574466,9.507119611,1.966169953,28.38962075,1.113729429,0.581855,1.50E+11,11.17608824
Bangladesh,2014,2.27915168,9.504436491,2.098716631,28.57787571,1.136443272,0.581855,1.73E+11,11.23776136
Bangladesh,2015,2.27217698,9.00588487,1.872254171,28.88668925,1.208517107,0.581855,1.95E+11,11.29036101
Bangladesh,2016,2.38938212,7.862768135,1.281839967,30.23976392,1.225900499,0.581855,2.65E+11,11.42361367
Bangladesh,2017,2.36720181,7.639874368,2.113428754,30.94687312,1.127581253,0.581855,2.94E+11,11.46795192
Bangladesh,2018,2.31622243,7.494145018,2.094774735,31.82257477,1.153957491,0.581855,3.21E+11,11.50699554
Bangladesh,2019,2.12712646,8.272315877,1.130949974,32.21373311,1.244100823,0.581855,3.51E+11,11.54559365
Bangladesh,2020,2.18254924,8.148320246,2.139743517,31.30794134,1.244689509,0.581855,3.74E+11,11.57284773
Bangladesh,2021,2.26678729,8.324251342,2.170908825,31.01873874,1.1687306,0.581855,4.16E+11,11.61937683
Bangladesh,2022,2.21544909,8.324251342,2.085386578,32.04727558,0.990983394,0.581855,4.60E+11,11.66288214
Bangladesh,2023,2.17014575,8.324251342,2.162138263,30.95120008,0.919471499,0.581855,4.37E+11,11.640894
China,2001,4.19752026,16.1647367,3.897140026,35.52385801,1.983086244,0.92948,1.36E+12,12.13195102
China,2002,4.32156181,16.1647367,3.897140026,36.06878168,2.059364653,1.04418,1.49E+12,12.17313429
